Class,Sheet,Cell,NamedRange,Formula,Value(data_only),Direct Precedents
INTERMEDIATE,Calculations,B178,Resin_Cost_Total,=Resin_Volume_Needed*Resin_Cost/Resin_Lifetime,122142.85714285719,"Inputs and Assumptions!B149, Inputs and Assumptions!B150, Calculations!B133"
INTERMEDIATE,Calculations,B179,Buffer_cost_per_L_Wash1,=(Phosphate_M*Phosphate_MW_g_per_mol*Phosphate_Cost)/1000+(NaCl_M_Wash1*NaCl_MW_g_per_mol*NaCl_Cost)/1000,0.003261,"NaCl_M_Was!h1, Inputs and Assumptions!B152, Inputs and Assumptions!B154, Inputs and Assumptions!B151, Calculations!ash1, Inputs and Assumptions!B155, Inputs and Assumptions!B153, Inputs and Assumptions!B156"
INTERMEDIATE,Calculations,B180,Buffer_cost_per_L_Wash2,=(Phosphate_M*Phosphate_MW_g_per_mol*Phosphate_Cost)/1000+(NaCl_M_Wash2*NaCl_MW_g_per_mol*NaCl_Cost)/1000,0.003261,"Calculations!ash2, Inputs and Assumptions!B152, Inputs and Assumptions!B154, Inputs and Assumptions!B157, Inputs and Assumptions!B155, Inputs and Assumptions!B153, NaCl_M_Was!h2, Inputs and Assumptions!B151"
INTERMEDIATE,Calculations,B181,Buffer_cost_per_L_Elution,=(Phosphate_M*Phosphate_MW_g_per_mol*Phosphate_Cost)/1000+(NaCl_M_Elution*NaCl_MW_g_per_mol*NaCl_Cost)/1000,0.003991499999999999,"Inputs and Assumptions!B152, Inputs and Assumptions!B154, Inputs and Assumptions!B155, Inputs and Assumptions!B153, Inputs and Assumptions!B151, Inputs and Assumptions!B158"
INTERMEDIATE,Calculations,B182,Buffer_cost_per_L_Strip,=(Phosphate_M*Phosphate_MW_g_per_mol*Phosphate_Cost)/1000+(NaCl_M_Strip*NaCl_MW_g_per_mol*NaCl_Cost)/1000,0.007644,"Inputs and Assumptions!B152, Inputs and Assumptions!B154, Inputs and Assumptions!B155, Inputs and Assumptions!B153, Inputs and Assumptions!B159, Inputs and Assumptions!B151"
INTERMEDIATE,Calculations,B183,Wash1_Cost,=Wash1_Volume_L*Buffer_cost_per_L_Wash1,146.745,"Calculations!B135, Calculations!B179, Was!h1, Calculations!ash1, Buffer_cost_per_L_Was!h1"
INTERMEDIATE,Calculations,B184,Wash2_Cost,=Wash2_Volume_L*Buffer_cost_per_L_Wash2,97.83,"Was!h2, Calculations!ash2, Calculations!B136, Buffer_cost_per_L_Was!h2, Calculations!B180"
INTERMEDIATE,Calculations,B185,Elution_Cost,=Elution_Volume_L*Buffer_cost_per_L_Elution,299.36249999999995,"Calculations!B181, Calculations!B137"
INTERMEDIATE,Calculations,B186,Strip_Cost,=Strip_Volume_L*Buffer_cost_per_L_Strip,229.32,"Calculations!B182, Calculations!B138"
INTERMEDIATE,Calculations,B190,Pre_Drying_TFF_Membrane_Cost_Total,=Pre_Drying_TFF_Membrane_Area*Pre_Drying_TFF_Membrane_Cost/Pre_Drying_TFF_Membrane_Lifetime,630,"Inputs and Assumptions!B118, Inputs and Assumptions!B168, Inputs and Assumptions!B167"
INTERMEDIATE,Calculations,B191,Buffer_cost_per_L_TFF,=(Phosphate_M*Phosphate_MW_g_per_mol*Phosphate_Cost)/1000,0.0017999999999999997,"Inputs and Assumptions!B152, Inputs and Assumptions!B151, Inputs and Assumptions!B153"
INTERMEDIATE,Calculations,B192,Predrying_TFF_Buffer_Cost,=Pre_Drying_TFF_Buffer_Volume*Buffer_cost_per_L_TFF,10.800000000000002,"Calculations!B144, Calculations!B191"
INTERMEDIATE,Calculations,B193,CIP_Chemicals_Cost_Total,=CIP_Water_Volume*CIP_Chemicals_Cost*0.02,12.6,"Calculations!B159, Inputs and Assumptions!B143"
INTERMEDIATE,Calculations,B194,Total_Buffer_Cost,=Wash1_Cost+Wash2_Cost+Elution_Cost+Strip_Cost+MF_Buffer_Cost+UF_Buffer_Cost+Predrying_TFF_Buffer_Cost,829.0574999999999,"Calculations!B184, Was!h2, Calculations!ash2, Calculations!B186, Calculations!B183, Was!h1, Calculations!ash1, Calculations!B192, Calculations!B185, Calculations!B177, Calculations!B174"
INTERMEDIATE,Calculations,B195,Total_Raw_Materials_Cost,=Carbon_source_Cost_Total+Yeast_Extract_Cost_Total+Peptone_Cost_Total+Minor_Nutrients_Cost_Total+Antifoam_Cost_Total+Total_Buffer_Cost+Resin_Cost_Total+MF_Membrane_Cost_Total+UF_Membrane_Cost_Total+Pre_Drying_TFF_Membrane_Cost_Total+CIP_Chemicals_Cost_Total+Membrane_Cleaning_Cost,155123.0146428572,"Calculations!B178, Calculations!B171, Calculations!B167, Calculations!B170, Calculations!B194, Calculations!B190, Calculations!B169, Calculations!B175, Calculations!B168, Calculations!B193, Inputs and Assumptions!B169, Calculations!B172"
INTERMEDIATE,Calculations,B199,Campaigns_Per_Year,"=CEILING(Batches_Per_Year/Batches_Per_Campaign,1)",5,"Inputs and Assumptions!B11, Inputs and Assumptions!B9"
INTERMEDIATE,Calculations,B200,Annual_Campaign_Setup_Cost,=Campaigns_Per_Year*Campaign_Setup_Fee,1250000,"Calculations!B199, Inputs and Assumptions!B184"
INTERMEDIATE,Calculations,B201,Campaign_Setup_Cost_Per_Batch,=Annual_Campaign_Setup_Cost/Batches_Per_Year,41666.666666666664,"Inputs and Assumptions!B11, Calculations!B200"
INTERMEDIATE,Calculations,B203,Annual_Facility_Reservation_Cost,=Campaigns_Per_Year*Campaign_Reservation_Months*Facility_Reservation_Fee,500000,"Calculations!B199, Inputs and Assumptions!B187, Inputs and Assumptions!B188"
INTERMEDIATE,Calculations,B204,Reservation_Cost_Per_Batch,=Annual_Facility_Reservation_Cost/Batches_Per_Year,16666.666666666668,"Inputs and Assumptions!B11, Calculations!B203"
INTERMEDIATE,Calculations,B205,Contract_Year_Multiplier,=(1+Annual_Price_Escalation+Annual_Price_Escalation^2)/3,0.3436333333333333,Inputs and Assumptions!B191
INTERMEDIATE,Calculations,B206,Long_Term_Contract_Factor,"=1-Long_Term_Contract_Discount*MIN(Contract_Length/3,1)",0.9,"Inputs and Assumptions!B190, Inputs and Assumptions!B189"
INTERMEDIATE,Calculations,B207,Validation_Batch_Cost_Annual,=Validation_Batches_Required*Validation_Batch_Surcharge*Total_Standard_Batch_Cost/Contract_Length,30480.435319607077,"Calculations!B238, Inputs and Assumptions!B190, Inputs and Assumptions!B192, Inputs and Assumptions!B193"
INTERMEDIATE,Calculations,B208,Validation_Cost_Per_Batch,=Validation_Batch_Cost_Annual/Batches_Per_Year,1016.0145106535692,"Inputs and Assumptions!B11, Calculations!B207"
INTERMEDIATE,Calculations,B218,Fermenter_Suite_Base_Fee,=(Seed_Train_Time+Main_Fermentation_Time+Turnaround_CIP_Time)/24*Fermenter_Daily_Rate,275000,"Calculations!B53, Calculations!B60, Calculations!B52, Inputs and Assumptions!B194"
INTERMEDIATE,Calculations,B219,Fermenter_Campaign_Factor,=1-Fermenter_Campaign_Discount*(1-1/Batches_Per_Campaign),0.875,"Inputs and Assumptions!B195, Inputs and Assumptions!B9"
INTERMEDIATE,Calculations,B220,Fermenter_Suite_Fee,=Fermenter_Suite_Base_Fee*Fermenter_Campaign_Factor*Long_Term_Contract_Factor*Contract_Year_Multiplier,74418.09374999999,"Calculations!B218, Calculations!B206, Calculations!B219, Calculations!B205"
INTERMEDIATE,Calculations,B221,DSP_Suite_Base_Fee,"=MAX(MAX(MF_Time,UF_Time+DF_Time),Chromatography_Time+Pre_Drying_TFF_Time)/24*DSP_Daily_Rate",78125.00000000003,"Calculations!B56, Calculations!B54, Calculations!B57, Inputs and Assumptions!B196, Calculations!B55, Calculations!B58"
INTERMEDIATE,Calculations,B222,DSP_Campaign_Factor,=1-DSP_Campaign_Discount*(1-1/Batches_Per_Campaign),0.9166666666666666,"Inputs and Assumptions!B197, Inputs and Assumptions!B9"
INTERMEDIATE,Calculations,B223,DSP_Suite_Fee,=DSP_Suite_Base_Fee*DSP_Campaign_Factor*Long_Term_Contract_Factor*Contract_Year_Multiplier,22148.242187500004,"Calculations!B206, Calculations!B222, Calculations!B221, Calculations!B205"
INTERMEDIATE,Calculations,B224,Spray_Dryer_Base_Fee,=Spray_Drying_Time*Spray_Dryer_Hourly_Rate,3672.000000000001,"Inputs and Assumptions!B198, Calculations!B59"
INTERMEDIATE,Calculations,B225,Spray_Dryer_Campaign_Factor,=1-Spray_Dryer_Campaign_Discount*(1-1/Batches_Per_Campaign),0.9583333333333334,"Inputs and Assumptions!B199, Inputs and Assumptions!B9"
INTERMEDIATE,Calculations,B226,Spray_Dryer_Fee,=Spray_Dryer_Base_Fee*Spray_Dryer_Campaign_Factor*Long_Term_Contract_Factor*Contract_Year_Multiplier,1088.32113,"Calculations!B224, Calculations!B206, Calculations!B225, Calculations!B205"
INTERMEDIATE,Calculations,B227,Labor_Base_Cost,=Labor_Cost_Per_Batch,20000,Inputs and Assumptions!B200
INTERMEDIATE,Calculations,B228,Labor_Campaign_Factor,=1-Labor_Campaign_Discount*(1-1/Batches_Per_Campaign),0.8333333333333333,"Inputs and Assumptions!B201, Inputs and Assumptions!B9"
INTERMEDIATE,Calculations,B229,Labor_Cost_Total,=Labor_Base_Cost*Labor_Campaign_Factor*Long_Term_Contract_Factor*Contract_Year_Multiplier,5154.499999999999,"Calculations!B227, Calculations!B228, Calculations!B206, Calculations!B205"
INTERMEDIATE,Calculations,B230,QC_Testing_Base_Cost,=QC_Testing_Cost_Per_Batch,15000,Inputs and Assumptions!B170
INTERMEDIATE,Calculations,B231,QA_QC_Campaign_Factor,=1-QA_Campaign_Discount*(1-1/Batches_Per_Campaign),0.875,"Inputs and Assumptions!B206, Inputs and Assumptions!B9"
INTERMEDIATE,Calculations,B232,QC_Testing_Cost_Total,=QC_Testing_Base_Cost*QA_QC_Campaign_Factor*Long_Term_Contract_Factor*Contract_Year_Multiplier,4059.1687499999994,"Calculations!B231, Calculations!B206, Calculations!B230, Calculations!B205"
INTERMEDIATE,Calculations,B233,Documentation_Fee_Total,=Documentation_Base_Fee*QA_QC_Campaign_Factor*Long_Term_Contract_Factor*Contract_Year_Multiplier,1353.0562499999999,"Calculations!B231, Calculations!B206, Inputs and Assumptions!B204, Calculations!B205"
INTERMEDIATE,Calculations,B234,QA_Review_Fee_Total,=QA_Review_Base_Fee*QA_QC_Campaign_Factor*Long_Term_Contract_Factor*Contract_Year_Multiplier,2706.1124999999997,"Calculations!B231, Calculations!B206, Inputs and Assumptions!B205, Calculations!B205"
INTERMEDIATE,Calculations,B235,Consumables_Base_Markup,=Total_Raw_Materials_Cost*CMO_Overhead_Markup,38780.7536607143,"Inputs and Assumptions!B202, Calculations!B195"
INTERMEDIATE,Calculations,B236,Consumables_Campaign_Factor,=1-CMO_Consumables_Campaign_Discount*(1-1/Batches_Per_Campaign),0.9166666666666666,"Inputs and Assumptions!B203, Inputs and Assumptions!B9"
INTERMEDIATE,Calculations,B237,CMO_Markup_On_Consumables,=Consumables_Base_Markup*Consumables_Campaign_Factor*Long_Term_Contract_Factor*Contract_Year_Multiplier,10994.24671092835,"Calculations!B235, Calculations!B206, Calculations!B236, Calculations!B205"
INTERMEDIATE,Calculations,B238,Total_Standard_Batch_Cost,=Fermenter_Suite_Fee+DSP_Suite_Fee+Spray_Dryer_Fee+Labor_Cost_Total+QC_Testing_Cost_Total+Documentation_Fee_Total+QA_Review_Fee_Total+CMO_Markup_On_Consumables,121921.74127842832,"Calculations!B223, Calculations!B226, Calculations!B232, Calculations!B234, Calculations!B229, Calculations!B233, Calculations!B237, Calculations!B220"
INTERMEDIATE,Calculations,B242,Total_Campaign_Related_Costs,=Campaign_Setup_Cost_Per_Batch+Reservation_Cost_Per_Batch+Validation_Cost_Per_Batch,59349.3478439869,"Calculations!B201, Calculations!B208, Calculations!B204"
INTERMEDIATE,Calculations,B244,,"=B243/(30/ROUNDUP(Total_Batch_Time_Days,1))",#REF!,"Calculations!B243, Calculations!"
INTERMEDIATE,Calculations,B245,,=250000+(172000*15)*1.12,3139600.0000000005,
INTERMEDIATE,Calculations,B246,,"=(B245/(15*2.4)/150)*Fermenter_size*(ROUNDUP(Total_Batch_Time_Days,1))",#REF!,"Inputs and Assumptions!B15, Calculations!B245, Calculations!"
INTERMEDIATE,Calculations,B248,Total_CMO_Fees;Total_CMO_Fees_Final,"=IF(B212=B214,Total_Standard_Batch_Cost+Total_Campaign_Related_Costs,IF(B212=B213,B244,IF(B212=B215,B246,""Select Fee Structure"")))",181271.08912241523,"Calculations!B212, Calculations!B246, Calculations!B214, Calculations!B242, Calculations!B213, Calculations!B238, Calculations!B215, Calculations!B244"
INTERMEDIATE,DSP_Yield_Analysis,C7,,=Chromatography_Yield,0.8,Inputs and Assumptions!B93
INTERMEDIATE,DSP_Yield_Analysis,C8,,=Pre_Drying_TFF_Efficiency,0.95,Inputs and Assumptions!B116
INTERMEDIATE,DSP_Yield_Analysis,C9,,=Spray_Dryer_Efficiency,0.98,Inputs and Assumptions!B126
INTERMEDIATE,DSP_Yield_Analysis,D6,,=D5*C6,0.855,"DSP_Yield_Analysis!C6, DSP_Yield_Analysis!D5"
INTERMEDIATE,DSP_Yield_Analysis,D7,,=D6*C7,0.684,"DSP_Yield_Analysis!C7, DSP_Yield_Analysis!D6"
INTERMEDIATE,DSP_Yield_Analysis,D8,,=D7*C8,0.6498,"DSP_Yield_Analysis!C8, DSP_Yield_Analysis!D7"
INTERMEDIATE,DSP_Yield_Analysis,D9,DSP_Theoretical_Yield,=D8*C9,0.636804,"DSP_Yield_Analysis!C9, DSP_Yield_Analysis!D8"
INTERMEDIATE,Final Costs,B8,Total_Cost_Per_Batch,=Total_CMO_Fees+Total_Raw_Materials_Cost,336394.1037652724,"Calculations!B195, Calculations!B248"
INTERMEDIATE,Inputs and Assumptions,B11,Batches_Per_Year,=Annual_Campaigns*Batches_Per_Campaign,30,"Inputs and Assumptions!B10, Inputs and Assumptions!B9"
INTERMEDIATE,Inputs and Assumptions,B16,Working_Volume,=B15*1000*0.7,70000,Inputs and Assumptions!B15
INTERMEDIATE,Inputs and Assumptions,B71,MF_Efficiency,=0.9,0.9,
INPUT,Buffer_cost_per_L_Was,h1,,,,
INPUT,Buffer_cost_per_L_Was,h2,,,,
INPUT,Calculations,B65,Carbon_source,,Glucose,
INPUT,Calculations,B212,Fee_Structure,,MID,
INPUT,Calculations,B213,,,LOW,
INPUT,Calculations,B214,,,MID,
INPUT,Calculations,B215,,,HIGH,
INPUT,Calculations,B243,,,800000,
INPUT,Calculations,D9,,,Actual batches needed (rounded up),
INPUT,Calculations,S1,,,,
INPUT,Calculations,S2,,,,
INPUT,Calculations,S3,,,,
INPUT,Calculations,ash1,,,,
INPUT,Calculations,ash2,,,,
INPUT,Calculations,,Buffer_Component_Cost_Basic;Buffer_Component_Cost_Premium;Buffer_Components_Cost_Total;Buffer_volumes;CIP_Cost_USD;CIP_Volume_L;Concentration_Factor;OD_to_Biomass_Factor;Resin_Cost_Per_Batch;Seed_Train_V_to_USP02;Seed_Volume_Feasible_S3;Total_Batch_Time_Days,,,
